排名	词语	频次	PMI	左熵	右熵	综合得分
1	治疗	554	6.6584	6.2278	6.5595	19.4457
2	戒烟	57	8.8755	5.2099	5.2582	19.3436
3	障碍	28	11.3119	3.3774	4.5931	19.2824
4	EBOL	12	12.7807	3.585	2.8554	19.221
5	患者	528	6.8289	5.3813	6.5938	18.8041
6	症状	173	7.3426	5.7379	5.6938	18.7743
7	茶碱	21	10.7807	4.2971	3.5538	18.6315
8	临床	181	8.7182	5.0293	4.8828	18.6303
9	冉丕鑫	4	14.3657	2.0	2.0	18.3657
10	姚婉贞	4	14.3657	2.0	2.0	18.3657
11	咳嗽	29	10.4839	3.8235	4.0213	18.3286
12	锻炼	5	14.0437	1.9219	2.3219	18.2876
13	既往	14	11.8376	3.4677	2.9502	18.2556
14	哮喘	22	11.1812	3.4753	3.5503	18.2068
15	呼吸困难	96	7.6399	5.3319	5.2307	18.2025
16	骨质疏松	11	11.8421	3.4594	2.8454	18.1469
17	获益	23	10.512	3.5014	4.0888	18.1022
18	问卷	40	9.3123	4.1118	4.6342	18.0582
19	储雾罐	8	12.7807	2.5	2.75	18.0307
20	营养	11	12.0702	3.0958	2.8454	18.0113
21	缺乏	20	10.8343	3.2464	3.9219	18.0026
22	药物	204	7.7056	5.2422	5.0198	17.9676
23	暴露	29	11.1792	3.8144	2.9636	17.9573
24	铜绿假	3	14.7807	1.585	1.585	17.9506
25	诊断	86	8.1772	4.7717	4.9976	17.9464
26	随访	44	9.6254	3.8654	4.4219	17.9127
27	引起	27	9.8561	4.4306	3.6158	17.9026
28	SARSCoV	5	14.0437	2.3219	1.5219	17.8876
29	风险	93	8.8792	3.8521	5.1547	17.886
30	人群	51	8.9493	4.3068	4.6229	17.879
31	提供	27	9.4785	3.8842	4.4586	17.8212
32	doubleblind	11	12.7807	2.6635	2.3685	17.8127
33	北京	14	12.3657	3.182	2.2638	17.8115
34	预防	56	8.3124	4.7791	4.7112	17.8027
35	回顾	7	12.4726	2.8074	2.5216	17.8016
36	水平	18	9.5626	4.1699	4.0588	17.7913
37	试验	38	9.9697	3.7852	4.0208	17.7758
38	教育	29	10.2738	3.4266	4.0164	17.7168
39	修订	54	10.3132	4.5422	2.8588	17.7142
40	条件	13	10.7442	3.3927	3.5466	17.6835
41	疫苗	35	10.5437	3.2443	3.8944	17.6824
42	避免	9	11.5583	3.1699	2.9477	17.6759
43	感染	63	9.1056	3.6444	4.9181	17.668
44	潴留	6	13.1433	2.2516	2.2516	17.6465
45	溴铵	30	11.3184	2.0857	4.2281	17.6321
46	口服	22	9.9424	3.7888	3.8797	17.6109
47	parallelgroup	7	13.173	2.1281	2.2359	17.537
48	狭窄	3	14.3657	1.585	1.585	17.5356
49	欧洲	8	12.7363	2.75	2.0	17.4863
50	其他	47	8.4754	4.4592	4.5333	17.4679
51	住院	50	8.8452	4.4537	4.1644	17.4633
52	黏液	24	10.4271	4.1368	2.8648	17.4287
53	恩塞芬汀	8	12.6652	2.75	2.0	17.4152
54	环境	16	11.3657	3.25	2.7806	17.3963
55	任何	20	10.5817	3.0219	3.7842	17.3878
56	PDE4抑制剂	3	15.3657	1.0	1.0	17.3657
57	运动	63	8.3898	5.0262	3.9474	17.3635
58	痉挛	5	13.5177	1.5219	2.3219	17.3615
59	问题	23	10.1368	3.0223	4.1757	17.3349
60	检查	79	8.8244	2.8659	5.6123	17.3026
61	技术	18	10.1083	3.3921	3.7947	17.2951
62	昏迷	3	14.7807	1.585	0.9183	17.284
63	矛盾	3	14.7807	1.585	0.9183	17.284
64	掌握	3	14.7807	0.9183	1.585	17.284
65	呕吐	3	14.7807	0.9183	1.585	17.284
66	踏车	3	14.7807	1.585	0.9183	17.284
67	距离	6	12.9062	1.7925	2.585	17.2837
68	httpsgoldcopd	4	13.7807	2.0	1.5	17.2807
69	抑郁	19	11.3375	2.8206	3.1158	17.2739
70	控制	25	9.1442	4.3239	3.7795	17.2475
71	损伤	11	10.6577	3.4594	3.0958	17.2129
72	占预计值	21	9.744	3.5945	3.8209	17.1593
73	危险因素	42	8.8188	3.9081	4.4313	17.1581
74	陈荣昌	11	11.3213	3.0958	2.7322	17.1492
75	指南	88	8.2828	3.9087	4.9459	17.1375
76	解读	16	10.5583	3.2028	3.375	17.1361
77	睡眠	9	11.9506	2.9477	2.1972	17.0955
78	死亡	35	10.076	3.976	3.0346	17.0866
79	chronicobstructivepulmonarydisease	62	8.4678	4.111	4.4879	17.0667
80	评价	32	8.1074	4.3903	4.5625	17.0602
81	airpollution	4	13.5583	2.0	1.5	17.0583
82	急性加重	242	7.0914	4.5977	5.3539	17.043
83	王凤燕	8	12.2782	2.75	2.0	17.0282
84	梁振宇	5	12.7807	1.9219	2.3219	17.0245
85	呼吸	387	6.8738	5.8532	4.2773	17.0043
86	噻托溴铵	9	11.3068	2.7255	2.9477	16.9799
87	RVTLC	4	12.9733	2.0	2.0	16.9733
88	帮助	8	11.1957	3.0	2.75	16.9457
89	因素	112	7.6149	3.63	5.682	16.9269
90	健康	70	9.0598	4.5866	3.2577	16.904
91	筛查	30	9.1083	3.7362	4.0566	16.9011
92	儿童	7	12.7136	2.5216	1.6645	16.8997
93	钟南山	5	13.0437	1.9219	1.9219	16.8876
94	浙江	3	14.3657	1.585	0.9183	16.8689
95	输送	3	14.3657	0.9183	1.585	16.8689
96	柔韧	4	14.3657	1.5	1.0	16.8657
97	crosssectional	5	13.5583	1.9219	1.371	16.8512
98	范围	8	11.0989	2.75	3.0	16.8489
99	改变	46	7.8505	4.2761	4.7157	16.8423
100	头孢	9	11.2502	2.4194	3.1699	16.8395
101	终点	37	9.2006	2.9671	4.6689	16.8366
102	持续	32	9.0803	4.0511	3.6914	16.8228
103	陈亚红	8	11.3213	2.75	2.75	16.8213
104	调整	19	9.374	3.8269	3.6163	16.8172
105	airflowobstruction	7	11.7721	2.5216	2.5216	16.8154
106	医院	77	6.9894	4.3687	5.4563	16.8145
107	heartfailure	3	13.6287	1.585	1.585	16.7986
108	细胞	59	9.6563	3.1081	4.0169	16.7814
109	羧甲司坦	4	12.7807	2.0	2.0	16.7807
110	什么	4	13.7807	1.5	1.5	16.7807
111	qualityoflife	3	14.7807	1.0	1.0	16.7807
112	允许	4	12.7218	2.0	2.0	16.7218
113	疲劳	4	12.7218	2.0	2.0	16.7218
114	家庭	14	10.1562	3.5216	3.0391	16.717
115	LABALAMA	32	8.5155	4.0109	4.1748	16.7012
116	longacting	13	11.2847	2.7774	2.6235	16.6856
117	代谢	9	11.2182	3.1699	2.281	16.6691
118	airflowlimitation	4	12.6652	2.0	2.0	16.6652
119	衰竭	52	10.3609	1.8836	4.4164	16.6608
120	健康状况	21	9.7608	3.2321	3.649	16.6419
121	疾病	278	6.5965	4.5358	5.4961	16.6285
122	给予	10	10.7807	2.5219	3.3219	16.6245
123	妊娠	3	14.7807	0.9183	0.9183	16.6173
124	隐匿	3	14.7807	0.9183	0.9183	16.6173
125	微生态失衡	6	11.7807	2.2516	2.585	16.6173
126	肌肉	9	10.7218	3.1699	2.7255	16.6172
127	Emailzgqkyxchinagpnetcn	18	10.8738	2.4332	3.3083	16.6153
128	轨迹	8	13.0437	1.5613	2.0	16.605
129	免疫	18	9.9469	3.7947	2.8219	16.5634
130	orggoldreports	3	13.3657	1.585	1.585	16.5356
131	CPMPEWP	6	12.4912	1.7925	2.2516	16.5353
132	辅助	11	11.0702	2.7322	2.7322	16.5345
133	慢阻肺	581	5.9976	6.4537	4.0746	16.526
