排名	词语	全局频次	共现种子种类	共现总权重	得分	主要共现种子
1	肺急	68	31	352.17	181.8753	住院(44.2), 患者(27.3), 治疗(26.6), 危险因素(17.6), 支气管舒张剂(16.8)
2	肺急性	66	26	283.14	146.8861	住院(35.4), 患者(27.3), 治疗(20.0), 危险因素(17.6), 合并(14.3)
3	度的	20	24	200.27	127.311	支气管扩张(17.4), 患者(13.7), 发作(12.1), 报告(11.7), 损害(10.0)
4	阻肺急	67	23	219.33	124.0881	治疗(20.0), 危险因素(17.6), 支气管舒张剂(16.8), 症状(14.7), 避免(11.6)
5	的急	17	21	192.98	110.6232	风险(17.8), 严重(14.0), 胃肠(12.0), 频繁(10.9), 衰竭(10.4)
6	慢阻肺急	63	20	189.76	105.02	治疗(20.0), 支气管舒张剂(16.8), 症状(14.7), 避免(11.6), 简称(10.8)
7	的合	15	20	182.57	104.2514	常见(22.6), 严重(14.0), 患者(13.7), 疾病(13.2), 慢阻肺(12.0)
8	者应	19	20	170.5	102.8917	危险因素(17.6), 医院(14.0), 治疗(13.3), 采取(9.6), 住院(8.8)
9	中华结	58	16	547.21	100.9066	呼吸(391.8), 指南(33.1), 专家共识(21.0), 急性加重(14.2), 修订版(9.6)
10	华结	58	16	547.21	100.9066	呼吸(391.8), 指南(33.1), 专家共识(21.0), 急性加重(14.2), 修订版(9.6)
11	素的	15	19	174.04	98.1348	干预(17.0), 患者(13.7), 治疗(13.3), 密切(12.3), 务人员(11.2)
12	的一	13	19	169.52	97.6381	基础(18.1), 治疗(13.3), 疾病(13.2), 免疫调节(10.9), 肌肉(10.7)
13	导致的	11	18	162.59	91.753	因素(15.2), 输送(14.4), 寒冷(13.0), 抑郁(11.3), 哮喘(11.2)
14	致的	13	18	162.59	91.753	因素(15.2), 输送(14.4), 寒冷(13.0), 抑郁(11.3), 哮喘(11.2)
15	疗中	14	17	181.33	88.4993	承担(35.3), 感染(18.2), 分级(13.1), 奥达特罗(10.7), 祛痰(10.6)
16	阻肺急性	65	17	150.3	85.3278	危险因素(17.6), 治疗(13.3), 简称(10.8), 近年来(9.4), 重度(9.2)
17	的合并	13	17	150.01	85.2949	严重(14.0), 患者(13.7), 疾病(13.2), 慢阻肺(12.0), 给予(10.8)
18	的人	10	17	145.59	84.7904	越来越(12.4), 深圳市(11.8), 暴露(11.2), 获益(10.5), 慢阻肺病(9.8)
19	理的	13	17	137.36	83.8081	疾病(13.2), 注意事项(10.5), 居家(9.7), 规范(9.6), 日常生活(9.6)
