排名	词语	频次	PMI	左熵	右熵	得分
1	戒烟	57	8.8755	5.2099	5.2582	19.3436
2	EBOL	12	12.7807	3.585	2.8554	19.221
3	咳嗽	29	10.4839	3.8235	4.0213	18.3286
4	哮喘	22	11.1812	3.4753	3.5503	18.2068
5	储雾罐	8	12.7807	2.5	2.75	18.0307
6	感染	63	9.1056	3.6444	4.9181	17.668
7	狭窄	3	14.3657	1.585	1.585	17.5356
8	呕吐	3	14.7807	0.9183	1.585	17.284
9	RVTLC	4	12.9733	2.0	2.0	16.9733
10	陈亚红	8	11.3213	2.75	2.75	16.8213
11	细胞	59	9.6563	3.1081	4.0169	16.7814
12	隐匿	3	14.7807	0.9183	0.9183	16.6173
13	肌肉	9	10.7218	3.1699	2.7255	16.6172
14	免疫	18	9.9469	3.7947	2.8219	16.5634
15	寒冷	4	12.9733	1.5	2.0	16.4733
16	扫描	6	12.9062	1.585	1.9183	16.4095
17	麻疹	3	13.7807	0.9183	1.585	16.284
18	弥散	10	12.1798	2.8464	0.8813	15.9075
19	支气管舒张剂	66	8.3873	3.2138	4.2937	15.8948
20	浸润	4	13.5583	0.8113	1.5	15.8696
21	蛋白	16	10.7639	2.7806	2.0919	15.6364
22	燃烧	5	12.5583	1.5219	1.5219	15.6022
23	绞痛	6	12.0437	0.65	2.585	15.2787
24	支气管扩张	28	8.6963	3.8198	2.6624	15.1785
25	黏膜	6	10.6287	2.2516	2.2516	15.1319
26	雾化器	8	9.5712	2.75	2.75	15.0712
27	支气管	150	7.8786	4.548	2.5232	14.9498
28	水肿	10	9.166	2.4464	3.3219	14.9344
29	咳痰	18	8.8953	2.7448	3.2608	14.901
30	颗粒	10	10.7807	2.1219	1.961	14.8636
31	蛋白酶	9	11.2137	1.4466	2.0588	14.7191
32	胸闷	6	10.5843	2.2516	1.7925	14.6284
33	左氧氟沙星	3	12.0437	1.585	0.9183	14.547
34	恶化	12	8.2351	3.0221	3.2516	14.5088
35	心血管	38	7.6903	3.8586	2.9569	14.5059
36	右心室	6	9.9733	2.585	1.9183	14.4766
37	胃肠	3	11.9506	1.585	0.9183	14.4539
38	骨骼肌	5	10.7218	2.3219	1.371	14.4147
39	容积	10	8.8296	2.6464	2.9219	14.398
40	二氧化碳	5	10.0152	2.3219	1.9219	14.259
41	肿瘤	4	10.7509	2.0	1.5	14.2509
42	白酶	12	10.4192	1.2075	2.585	14.2117
43	超声	6	10.9062	1.9183	1.2516	14.0761
