排名	词语	频次	PMI	左熵	右熵	得分	分类原因
1	治疗	554	6.6584	6.2278	6.5595	19.4457	2字常见通用词
2	患者	528	6.8289	5.3813	6.5938	18.8041	2字常见通用词
3	症状	173	7.3426	5.7379	5.6938	18.7743	含结构虚字
4	临床	181	8.7182	5.0293	4.8828	18.6303	2字常见通用词
5	既往	14	11.8376	3.4677	2.9502	18.2556	含结构虚字
6	呼吸困难	96	7.6399	5.3319	5.2307	18.2025	含结构虚字
7	骨质疏松	11	11.8421	3.4594	2.8454	18.1469	含结构虚字
8	获益	23	10.512	3.5014	4.0888	18.1022	含结构虚字
9	药物	204	7.7056	5.2422	5.0198	17.9676	2字常见通用词
10	诊断	86	8.1772	4.7717	4.9976	17.9464	2字常见通用词
11	引起	27	9.8561	4.4306	3.6158	17.9026	含结构虚字
12	SARSCoV	5	14.0437	2.3219	1.5219	17.8876	过长英文
13	风险	93	8.8792	3.8521	5.1547	17.886	2字常见通用词
14	人群	51	8.9493	4.3068	4.6229	17.879	含结构虚字
15	提供	27	9.4785	3.8842	4.4586	17.8212	含结构虚字
16	doubleblind	11	12.7807	2.6635	2.3685	17.8127	过长英文
17	预防	56	8.3124	4.7791	4.7112	17.8027	含结构虚字
18	水平	18	9.5626	4.1699	4.0588	17.7913	2字常见通用词
19	修订	54	10.3132	4.5422	2.8588	17.7142	含结构虚字
20	条件	13	10.7442	3.3927	3.5466	17.6835	2字常见通用词
21	避免	9	11.5583	3.1699	2.9477	17.6759	2字常见通用词
22	parallelgroup	7	13.173	2.1281	2.2359	17.537	过长英文
23	其他	47	8.4754	4.4592	4.5333	17.4679	含结构虚字
24	环境	16	11.3657	3.25	2.7806	17.3963	含结构虚字
25	PDE4抑制剂	3	15.3657	1.0	1.0	17.3657	含结构虚字
26	运动	63	8.3898	5.0262	3.9474	17.3635	含结构虚字
27	问题	23	10.1368	3.0223	4.1757	17.3349	2字常见通用词
28	技术	18	10.1083	3.3921	3.7947	17.2951	2字常见通用词
29	httpsgoldcopd	4	13.7807	2.0	1.5	17.2807	过长英文
30	控制	25	9.1442	4.3239	3.7795	17.2475	含结构虚字
31	损伤	11	10.6577	3.4594	3.0958	17.2129	2字常见通用词
32	占预计值	21	9.744	3.5945	3.8209	17.1593	含结构虚字
33	危险因素	42	8.8188	3.9081	4.4313	17.1581	含结构虚字
34	指南	88	8.2828	3.9087	4.9459	17.1375	2字常见通用词
35	死亡	35	10.076	3.976	3.0346	17.0866	2字常见通用词
36	chronicobstructivepulmonarydisease	62	8.4678	4.111	4.4879	17.0667	过长英文
37	评价	32	8.1074	4.3903	4.5625	17.0602	含结构虚字
38	airpollution	4	13.5583	2.0	1.5	17.0583	过长英文
39	急性加重	242	7.0914	4.5977	5.3539	17.043	含结构虚字
40	呼吸	387	6.8738	5.8532	4.2773	17.0043	含结构虚字
41	因素	112	7.6149	3.63	5.682	16.9269	含结构虚字
42	筛查	30	9.1083	3.7362	4.0566	16.9011	含结构虚字
43	crosssectional	5	13.5583	1.9219	1.371	16.8512	过长英文
44	范围	8	11.0989	2.75	3.0	16.8489	2字常见通用词
45	改变	46	7.8505	4.2761	4.7157	16.8423	含结构虚字
46	终点	37	9.2006	2.9671	4.6689	16.8366	含结构虚字
47	持续	32	9.0803	4.0511	3.6914	16.8228	含结构虚字
48	调整	19	9.374	3.8269	3.6163	16.8172	含结构虚字
49	airflowobstruction	7	11.7721	2.5216	2.5216	16.8154	过长英文
50	heartfailure	3	13.6287	1.585	1.585	16.7986	过长英文
51	qualityoflife	3	14.7807	1.0	1.0	16.7807	过长英文
52	longacting	13	11.2847	2.7774	2.6235	16.6856	过长英文
53	代谢	9	11.2182	3.1699	2.281	16.6691	含结构虚字
54	airflowlimitation	4	12.6652	2.0	2.0	16.6652	过长英文
55	健康状况	21	9.7608	3.2321	3.649	16.6419	含结构虚字
56	给予	10	10.7807	2.5219	3.3219	16.6245	2字常见通用词
57	微生态失衡	6	11.7807	2.2516	2.585	16.6173	含结构虚字
58	Emailzgqkyxchinagpnetcn	18	10.8738	2.4332	3.3083	16.6153	过长英文
59	orggoldreports	3	13.3657	1.585	1.585	16.5356	过长英文
60	替代	10	10.8296	2.8464	2.8464	16.5225	含结构虚字
61	下降	37	7.9982	3.8792	4.6077	16.4851	含结构虚字
62	highintensity	4	12.9733	2.0	1.5	16.4733	过长英文
63	监测	18	8.9357	3.8366	3.6835	16.4558	含结构虚字
64	增加	74	6.5974	4.9925	4.8598	16.4496	2字常见通用词
65	线胸片	10	10.8706	3.1219	2.4464	16.439	含结构虚字
66	气道	79	6.3186	4.8665	5.247	16.432	含结构虚字
67	黏液高分泌	9	11.3657	2.4194	2.6416	16.4266	含结构虚字
68	方案	58	8.8525	2.7722	4.769	16.3938	含结构虚字
69	分析	25	8.3827	3.5239	4.4839	16.3904	含结构虚字
70	吸入	141	6.5281	5.7972	4.052	16.3773	含结构虚字
71	事件	18	10.3557	2.7029	3.3083	16.3668	2字常见通用词
72	sleepapnea	4	14.0437	0.8113	1.5	16.355	过长英文
73	方面	30	7.9015	4.1614	4.2817	16.3446	含结构虚字
74	康复	63	8.3352	3.361	4.6427	16.3389	含结构虚字
75	longterm	6	11.4588	2.2516	2.585	16.2954	过长英文
76	干预	36	8.4994	3.8016	3.9886	16.2895	含结构虚字
77	全身	28	8.5565	4.2534	3.4758	16.2857	含结构虚字
78	气流受限	49	7.0864	4.6805	4.4008	16.1676	含结构虚字
79	文献	19	9.9924	3.1084	3.0031	16.1039	2字常见通用词
80	修订版指南	18	9.2182	3.5305	3.3502	16.0989	含结构虚字
81	说明	22	9.0356	3.0717	3.9706	16.0779	含结构虚字
82	罗氟司特	15	9.2467	2.9232	3.9069	16.0768	含结构虚字
83	领域	9	12.6652	1.7527	1.6577	16.0757	含结构虚字
84	初始	22	10.1368	3.9706	1.9658	16.0732	含结构虚字
85	然而	16	8.6099	4.0	3.4528	16.0628	含结构虚字
86	mildtomoderate	4	13.0437	1.5	1.5	16.0437	过长英文
87	lungcancer	12	10.3433	2.8454	2.8454	16.034	过长英文
88	心律失常	21	8.3977	3.7257	3.8802	16.0035	含结构虚字
89	焦虑和抑郁	4	11.9733	2.0	2.0	15.9733	含结构虚字
90	运动能力	13	8.8794	3.5466	3.5466	15.9725	含结构虚字
