排名	词语	频次	PMI	左熵	右熵	得分	分类原因
1	障碍	28	11.3119	3.3774	4.5931	19.2824	高分无医学特征字
2	茶碱	21	10.7807	4.2971	3.5538	18.6315	高分无医学特征字
3	冉丕鑫	4	14.3657	2.0	2.0	18.3657	高分无医学特征字
4	姚婉贞	4	14.3657	2.0	2.0	18.3657	高分无医学特征字
5	锻炼	5	14.0437	1.9219	2.3219	18.2876	高分无医学特征字
6	问卷	40	9.3123	4.1118	4.6342	18.0582	高分无医学特征字
7	营养	11	12.0702	3.0958	2.8454	18.0113	高分无医学特征字
8	缺乏	20	10.8343	3.2464	3.9219	18.0026	高分无医学特征字
9	暴露	29	11.1792	3.8144	2.9636	17.9573	高分无医学特征字
10	铜绿假	3	14.7807	1.585	1.585	17.9506	高分无医学特征字
11	随访	44	9.6254	3.8654	4.4219	17.9127	高分无医学特征字
12	北京	14	12.3657	3.182	2.2638	17.8115	高分无医学特征字
13	回顾	7	12.4726	2.8074	2.5216	17.8016	高分无医学特征字
14	试验	38	9.9697	3.7852	4.0208	17.7758	高分无医学特征字
15	教育	29	10.2738	3.4266	4.0164	17.7168	高分无医学特征字
16	疫苗	35	10.5437	3.2443	3.8944	17.6824	高分无医学特征字
17	潴留	6	13.1433	2.2516	2.2516	17.6465	高分无医学特征字
18	溴铵	30	11.3184	2.0857	4.2281	17.6321	高分无医学特征字
19	口服	22	9.9424	3.7888	3.8797	17.6109	高分无医学特征字
20	欧洲	8	12.7363	2.75	2.0	17.4863	高分无医学特征字
21	住院	50	8.8452	4.4537	4.1644	17.4633	中等质量待审核
22	黏液	24	10.4271	4.1368	2.8648	17.4287	高分无医学特征字
23	恩塞芬汀	8	12.6652	2.75	2.0	17.4152	高分无医学特征字
24	任何	20	10.5817	3.0219	3.7842	17.3878	高分无医学特征字
25	痉挛	5	13.5177	1.5219	2.3219	17.3615	高分无医学特征字
26	检查	79	8.8244	2.8659	5.6123	17.3026	中等质量待审核
27	昏迷	3	14.7807	1.585	0.9183	17.284	高分无医学特征字
28	矛盾	3	14.7807	1.585	0.9183	17.284	高分无医学特征字
29	掌握	3	14.7807	0.9183	1.585	17.284	高分无医学特征字
30	踏车	3	14.7807	1.585	0.9183	17.284	高分无医学特征字
31	距离	6	12.9062	1.7925	2.585	17.2837	高分无医学特征字
32	抑郁	19	11.3375	2.8206	3.1158	17.2739	高分无医学特征字
33	陈荣昌	11	11.3213	3.0958	2.7322	17.1492	高分无医学特征字
34	解读	16	10.5583	3.2028	3.375	17.1361	高分无医学特征字
35	睡眠	9	11.9506	2.9477	2.1972	17.0955	高分无医学特征字
36	王凤燕	8	12.2782	2.75	2.0	17.0282	高分无医学特征字
37	梁振宇	5	12.7807	1.9219	2.3219	17.0245	高分无医学特征字
38	噻托溴铵	9	11.3068	2.7255	2.9477	16.9799	中等质量待审核
39	帮助	8	11.1957	3.0	2.75	16.9457	中等质量待审核
40	健康	70	9.0598	4.5866	3.2577	16.904	中等质量待审核
41	儿童	7	12.7136	2.5216	1.6645	16.8997	中等质量待审核
42	钟南山	5	13.0437	1.9219	1.9219	16.8876	中等质量待审核
43	浙江	3	14.3657	1.585	0.9183	16.8689	中等质量待审核
44	输送	3	14.3657	0.9183	1.585	16.8689	中等质量待审核
45	柔韧	4	14.3657	1.5	1.0	16.8657	中等质量待审核
