排名	词语	频次	PMI	左熵	右熵	综合得分
1	etal	337	12.0297	4.0037	5.8329	21.8663
2	包括	95	9.5235	5.818	5.9437	21.2852
3	评估	155	8.5234	5.5045	6.2979	20.3257
4	DOI10	359	7.2354	8.2537	4.493	19.9821
5	选择	61	9.8111	4.5826	5.2098	19.6035
6	使用	163	7.1808	5.9843	6.4081	19.5732
7	建议	58	9.9244	4.8387	4.737	19.5001
8	进行	136	7.8658	5.7097	5.8917	19.4672
9	治疗	554	6.6584	6.2278	6.5595	19.4457
10	戒烟	57	8.8755	5.2099	5.2582	19.3436
11	影响	84	9.5796	4.1395	5.5991	19.3183
12	障碍	28	11.3119	3.3774	4.5931	19.2824
13	fmxT3RoZXJNaXJyb3Jz	19	12.1177	4.1427	2.9634	19.2238
14	EBOL	12	12.7807	3.585	2.8554	19.221
15	研究	222	8.4629	5.0871	5.5946	19.1445
16	改善	89	9.0141	5.1649	4.8101	18.9891
17	相关	117	7.8605	5.8181	5.2639	18.9425
18	推荐	57	10.0822	4.5981	4.2601	18.9405
19	训练	30	10.8921	3.4933	4.5484	18.9338
20	考虑	101	9.1123	4.3577	5.4393	18.9093
21	探索	16	11.5139	3.625	3.75	18.8889
22	破坏	12	12.3657	3.2516	3.1887	18.806
23	患者	528	6.8289	5.3813	6.5938	18.8041
24	症状	173	7.3426	5.7379	5.6938	18.7743
25	根据	44	9.4503	4.5987	4.7067	18.7557
26	必须	20	11.3213	3.7464	3.6842	18.7519
27	记录	16	11.4498	3.5	3.75	18.6998
28	DransfieldMT	5	14.6876	2.0	2.0	18.6876
29	茶碱	21	10.7807	4.2971	3.5538	18.6315
30	临床	181	8.7182	5.0293	4.8828	18.6303
31	标准	41	9.161	4.705	4.7145	18.5805
32	观察	12	11.9283	3.4183	3.1887	18.5353
33	这些	33	9.087	4.9232	4.4989	18.5091
34	策略	28	11.0567	3.0516	4.3788	18.487
35	存在	98	7.4436	5.2656	5.6668	18.376
36	1mmHg0133kPa	4	14.3657	2.0	2.0	18.3657
37	冉丕鑫	4	14.3657	2.0	2.0	18.3657
38	姚婉贞	4	14.3657	2.0	2.0	18.3657
39	需要	83	7.4163	5.513	5.4348	18.3641
40	咳嗽	29	10.4839	3.8235	4.0213	18.3286
41	锻炼	5	14.0437	1.9219	2.3219	18.2876
42	RabeKF	7	14.0437	2.3219	1.9219	18.2876
43	既往	14	11.8376	3.4677	2.9502	18.2556
44	目前	49	8.3588	5.0125	4.8746	18.2459
45	MartinezFJ	9	12.6287	2.9477	2.6416	18.218
46	哮喘	22	11.1812	3.4753	3.5503	18.2068
47	呼吸困难	96	7.6399	5.3319	5.2307	18.2025
48	HanMK	5	13.5583	2.3219	2.3219	18.2022
49	降低	48	8.5012	4.8554	4.8452	18.2018
50	措施	25	11.0237	3.0227	4.1337	18.18
51	骨质疏松	11	11.8421	3.4594	2.8454	18.1469
52	导致	70	8.5337	5.0568	4.5513	18.1418
53	情况	40	9.231	4.4726	4.4031	18.1066
54	减少	58	8.9814	4.7774	4.3474	18.1062
55	获益	23	10.512	3.5014	4.0888	18.1022
56	鼓励	6	13.5583	2.585	1.9183	18.0616
57	问卷	40	9.3123	4.1118	4.6342	18.0582
58	MurphyPB	4	14.0437	2.0	2.0	18.0437
