词语	频次	PMI	左熵	右熵	得分	删除原因
etal	337	12.0297	4.0037	5.8329	21.8663	文献格式噪声
包括	95	9.5235	5.818	5.9437	21.2852	停用词
评估	155	8.5234	5.5045	6.2979	20.3257	停用词
DOI10	359	7.2354	8.2537	4.493	19.9821	字母数字混合噪声
选择	61	9.8111	4.5826	5.2098	19.6035	停用词
使用	163	7.1808	5.9843	6.4081	19.5732	停用词
建议	58	9.9244	4.8387	4.737	19.5001	停用词
进行	136	7.8658	5.7097	5.8917	19.4672	停用词
影响	84	9.5796	4.1395	5.5991	19.3183	停用词
fmxT3RoZXJNaXJyb3Jz	19	12.1177	4.1427	2.9634	19.2238	字母数字混合噪声
研究	222	8.4629	5.0871	5.5946	19.1445	停用词
改善	89	9.0141	5.1649	4.8101	18.9891	停用词
相关	117	7.8605	5.8181	5.2639	18.9425	停用词
推荐	57	10.0822	4.5981	4.2601	18.9405	停用词
训练	30	10.8921	3.4933	4.5484	18.9338	停用词
考虑	101	9.1123	4.3577	5.4393	18.9093	停用词
探索	16	11.5139	3.625	3.75	18.8889	停用词
破坏	12	12.3657	3.2516	3.1887	18.806	停用词
根据	44	9.4503	4.5987	4.7067	18.7557	停用词
必须	20	11.3213	3.7464	3.6842	18.7519	停用词
记录	16	11.4498	3.5	3.75	18.6998	停用词
DransfieldMT	5	14.6876	2.0	2.0	18.6876	英文人名
标准	41	9.161	4.705	4.7145	18.5805	停用词
观察	12	11.9283	3.4183	3.1887	18.5353	停用词
这些	33	9.087	4.9232	4.4989	18.5091	停用词
策略	28	11.0567	3.0516	4.3788	18.487	停用词
存在	98	7.4436	5.2656	5.6668	18.376	停用词
1mmHg0133kPa	4	14.3657	2.0	2.0	18.3657	字母数字混合噪声
需要	83	7.4163	5.513	5.4348	18.3641	停用词
RabeKF	7	14.0437	2.3219	1.9219	18.2876	英文人名
目前	49	8.3588	5.0125	4.8746	18.2459	停用词
MartinezFJ	9	12.6287	2.9477	2.6416	18.218	英文人名
HanMK	5	13.5583	2.3219	2.3219	18.2022	英文人名
降低	48	8.5012	4.8554	4.8452	18.2018	停用词
措施	25	11.0237	3.0227	4.1337	18.18	停用词
导致	70	8.5337	5.0568	4.5513	18.1418	停用词
情况	40	9.231	4.4726	4.4031	18.1066	停用词
减少	58	8.9814	4.7774	4.3474	18.1062	停用词
鼓励	6	13.5583	2.585	1.9183	18.0616	停用词
MurphyPB	4	14.0437	2.0	2.0	18.0437	英文人名
ImmunizationPractices	3	15.9506	1.0	1.0	17.9506	英文人名
对于	88	6.1923	6.164	5.4127	17.769	停用词
通过	55	7.5888	4.6742	5.4177	17.6808	停用词
FergusonGT	5	14.1026	2.0	1.5	17.6026	英文人名
SorianoJB	4	13.5583	2.0	2.0	17.5583	英文人名
S01406736	14	12.4588	1.7695	3.3249	17.5532	字母数字混合噪声
LipworthBJ	3	14.3657	1.585	1.585	17.5356	英文人名
WilsonDO	3	14.3657	1.585	1.585	17.5356	英文人名
逐渐	5	12.8802	2.3219	2.3219	17.5241	停用词
UnitedStates	3	15.3657	1.0	1.0	17.3657	英文人名
如果	42	7.4165	5.1183	4.8146	17.3493	停用词
主要	73	7.816	4.5732	4.8427	17.2319	停用词
ChronicObstructivePulmonaryDisease	12	11.1368	2.9219	3.1219	17.1807	英文人名
出现	49	8.0384	4.5581	4.4798	17.0763	停用词
按照	23	10.1243	2.8691	4.056	17.0494	停用词
显著	33	9.7376	3.5906	3.689	17.0172	停用词
ChineseGeneralPractice	10	12.3657	1.2955	3.3219	16.983	英文人名
BhattSP	3	13.7807	1.585	1.585	16.9506	英文人名
BoltonCE	3	14.9506	1.0	1.0	16.9506	英文人名
2021010900031	3	14.3657	0.9183	1.585	16.8689	纯数字
时间	50	7.4016	4.2522	5.2117	16.8654	停用词
DOI101016j	36	7.3951	5.0588	4.4058	16.8596	字母数字混合噪声
issn10010939	17	10.9978	2.6757	3.1751	16.8486	字母数字混合噪声
可以	104	6.0673	5.7324	5.0316	16.8313	停用词
