head,tail,relation,source,doc
二氧化氮,慢性阻塞性肺疾病,危险因素-疾病,,
二氧化硅,慢性阻塞性肺疾病,危险因素-疾病,,
二氧化硫,慢性阻塞性肺疾病,危险因素-疾病,,
吸烟,呼吸衰竭,危险因素-疾病,,
吸烟,心力衰竭,危险因素-疾病,,
吸烟,心肌梗死,危险因素-疾病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
吸烟,心血管疾病,危险因素-疾病,,
吸烟,慢性支气管炎,危险因素-疾病,,
吸烟,慢性阻塞性肺疾病,危险因素-疾病,,
吸烟,支气管哮喘,危险因素-疾病,,
吸烟,支气管扩张,危险因素-疾病,,
吸烟,糖尿病,危险因素-疾病,,
吸烟,细支气管炎,危险因素-疾病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
吸烟,肺动脉高压,危险因素-疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
吸烟,肺栓塞,危险因素-疾病,,
吸烟,肺炎,危险因素-疾病,,
吸烟,肺癌,危险因素-疾病,,
吸烟,胃食管反流,危险因素-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
吸烟,阻塞性睡眠呼吸暂停,危险因素-疾病,,
吸烟,骨质疏松症,危险因素-疾病,,
吸烟,鼻窦炎,危险因素-疾病,,
吸烟史,CVA,危险因素-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
吸烟史,慢性阻塞性肺疾病,危险因素-疾病,,
吸烟史,支气管哮喘,危险因素-疾病,,
吸烟史,支气管扩张,危险因素-疾病,,
吸烟史,糖尿病,危险因素-疾病,,
吸烟史,细支气管炎,危险因素-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
吸烟史,肺癌,危险因素-疾病,,
吸烟史,肺结核,危险因素-疾病,,
吸烟史,阻塞性睡眠呼吸暂停,危险因素-疾病,,
呼吸道感染,CVA,危险因素-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
呼吸道感染,心力衰竭,危险因素-疾病,,
呼吸道感染,慢性支气管炎,危险因素-疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
呼吸道感染,慢性阻塞性肺疾病,危险因素-疾病,,
呼吸道感染,支气管哮喘,危险因素-疾病,,
呼吸道感染,支气管炎,危险因素-疾病,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
呼吸道感染,糖尿病,危险因素-疾病,,
呼吸道感染,肺动脉高压,危险因素-疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
呼吸道感染,肺栓塞,危险因素-疾病,,
