head,tail,source,doc
CT,变应性鼻炎,,
CT,呼吸衰竭,,
CT,心力衰竭,,
CT,心血管疾病,,
CT,慢性支气管炎,,
CT,慢性阻塞性肺疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
CT,支气管哮喘,,
CT,支气管扩张,,
CT,细支气管炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
CT,肺动脉高压,,
CT,肺栓塞,,
CT,肺炎,,
CT,肺癌,,
CT,肺结核,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
CT,鼻窦炎,,
吸气流速,慢性阻塞性肺疾病,,
吸气流速,肺动脉高压,,
呼吸频率,呼吸衰竭,,
呼吸频率,慢性阻塞性肺疾病,,
呼吸频率,肺炎,,
心电图,右心衰竭,,
心电图,呼吸衰竭,,
心电图,心力衰竭,,
心电图,心血管疾病,,
心电图,慢性阻塞性肺疾病,,
心电图,支气管哮喘,,
心电图,支气管扩张,,
心电图,肺动脉高压,,
心电图,肺栓塞,,
线胸片,呼吸衰竭,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
线胸片,心力衰竭,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
线胸片,慢性支气管炎,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
线胸片,支气管扩张,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
线胸片,细支气管炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
线胸片,肺炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
线胸片,肺癌,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
线胸片,肺结核,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
线胸片,鼻窦炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺功能,右心衰竭,,
肺功能,呼吸衰竭,,
肺功能,心力衰竭,,
肺功能,心血管疾病,,
肺功能,慢性支气管炎,,
肺功能,慢性阻塞性肺疾病,,
肺功能,支气管哮喘,,
肺功能,支气管扩张,,
肺功能,肺炎,,
肺功能,肺癌,,
肺功能,肺结核,,
肺功能,阻塞性睡眠呼吸暂停,,
肺功能,鼻窦炎,,
脉搏血氧,呼吸衰竭,,
脉搏血氧,心力衰竭,,
脉搏血氧,慢性阻塞性肺疾病,,
血嗜酸粒细胞计数,慢性阻塞性肺疾病,,
血嗜酸粒细胞计数,支气管哮喘,,
血常规,慢性阻塞性肺疾病,,
血常规,红细胞增多症,,
血常规,贫血,,
血气分析,右心衰竭,,
血气分析,呼吸衰竭,,
血气分析,心力衰竭,,
血气分析,心血管疾病,,
血气分析,慢性阻塞性肺疾病,,
血气分析,支气管扩张,,
血气分析,肺癌,,
超声心动图,心力衰竭,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
超声心动图,心血管疾病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
超声心动图,肺动脉高压,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
