head,tail,source,doc
三联疗法,慢性阻塞性肺疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
体位引流,支气管扩张,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
戒烟,慢性阻塞性肺疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
手术切除,肺癌,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
抗感染,慢性阻塞性肺疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
抗感染,支气管扩张,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
抗感染,支气管炎,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
抗感染,肺炎,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
抗感染,鼻后滴流综合征,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
抗感染,鼻窦炎,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
无创通气,呼吸衰竭,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
无创通气,心力衰竭,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺康复,心力衰竭,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺康复,慢性支气管炎,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
肺康复,慢性阻塞性肺疾病,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
肺康复,支气管扩张,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
阻抗训练,慢性阻塞性肺疾病,cooccurrence,42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁_cleaned.txt
