head,tail,source,doc
三联疗法,呼吸困难,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
体位引流,慢性咳嗽,,
健脾,中成药,,
健脾,呕吐,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
健脾,咳痰,,
健脾,喘息,,
健脾,头晕,,
健脾,意识障碍,,
健脾,慢性咳嗽,,
健脾,气虚,,
健脾,祛邪,,
健脾,肺脾气虚,,
宣肺止咳,慢性咳嗽,,
宣肺止咳,肺脾气虚,,
宣肺止咳,风寒袭肺,,
戒烟,呼吸困难,,
戒烟,啰音,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
戒烟,失眠,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
戒烟,头晕,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
戒烟,慢性咳嗽,,
戒烟,腹胀,,
手术切除,慢性咳嗽,,
抗感染,喘息,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
无创通气,乏力,,
无创通气,呼吸困难,,
无创通气,咳痰,,
无创通气,慢性咳嗽,,
活血,中成药,,
活血,失眠,,
活血,头晕,,
活血,气虚,,
活血,祛邪,,
活血,肌肉酸痛,cooccurrence,49_国际中医临床实践指南 慢性阻塞性肺疾病(2020)_cleaned.txt
活血,肢体酸痛,,
活血,胸闷,,
活血,腹泻,,
益肺灸,中成药,,
益肺灸,气虚,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
益肾,中成药,,
益肾,呼吸困难,,
益肾,慢性咳嗽,,
益肾,气虚,,
益肾,祛邪,,
益肾,肺脾气虚,,
肺减容手术,呼吸困难,,
肺康复,呼吸困难,,
肺康复,喘息,,
肺康复,慢性咳嗽,,
肺康复,气虚,,
舒肺贴,中成药,,
补肺,中成药,,
补肺,乏力,,
补肺,呼吸困难,,
补肺,喘息,,
补肺,头晕,,
补肺,意识障碍,,
补肺,慢性咳嗽,,
补肺,气虚,,
补肺,祛邪,,
补肺,肺脾气虚,,
补肺,腹泻,,
补肺,腹胀,,
阻抗训练,慢性咳嗽,,
