head,tail,source,doc
CVA,变应性鼻炎,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
CVA,支气管炎,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
CVA,鼻窦炎,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
变应性鼻炎,鼻窦炎,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
呼吸衰竭,肺癌,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
心力衰竭,细支气管炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
心力衰竭,肺癌,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
心力衰竭,肺结核,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
心力衰竭,骨质疏松症,cooccurrence,42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁_cleaned.txt
心肌梗死,慢性阻塞性肺疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
心血管疾病,糖尿病,cooccurrence,23_面向全科医生的《慢性阻塞性肺疾病诊治指南（2021年修订版）》解读_cleaned.txt
心血管疾病,肺癌,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
心血管疾病,胃食管反流,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
心血管疾病,骨质疏松症,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
慢性支气管炎,支气管哮喘,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
慢性支气管炎,支气管扩张,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
慢性支气管炎,糖尿病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
慢性支气管炎,肺结核,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
慢性支气管炎,鼻窦炎,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
慢性阻塞性肺疾病,心血管疾病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
慢性阻塞性肺疾病,支气管哮喘,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
慢性阻塞性肺疾病,支气管扩张,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
慢性阻塞性肺疾病,糖尿病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
慢性阻塞性肺疾病,细支气管炎,cooccurrence,8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法_cleaned.txt
支气管哮喘,支气管炎,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
支气管哮喘,细支气管炎,cooccurrence,20_【中医证候】慢性阻塞性肺疾病中医证候诊断标准（2011版）_cleaned.txt
支气管哮喘,肺炎,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
支气管哮喘,肺癌,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
支气管扩张,慢性支气管炎,cooccurrence,8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法_cleaned.txt
支气管扩张,慢性阻塞性肺疾病,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
支气管扩张,支气管哮喘,cooccurrence,29_【CASA-Q量表】慢性气道炎症性疾病气道黏液高分泌管理中国专家共识_cleaned.txt
支气管扩张,细支气管炎,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
支气管扩张,肺结核,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
支气管炎,胃食管反流,cooccurrence,35_咳嗽中医诊疗专家共识意见（2021）_cleaned.txt
支气管炎,鼻窦炎,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
糖尿病,支气管扩张,cooccurrence,42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁_cleaned.txt
糖尿病,胃食管反流,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
糖尿病,贫血,cooccurrence,11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA_cleaned.txt
糖尿病,阻塞性睡眠呼吸暂停,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
细支气管炎,鼻窦炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺动脉高压,支气管扩张,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺栓塞,慢性阻塞性肺疾病,cooccurrence,20_【中医证候】慢性阻塞性肺疾病中医证候诊断标准（2011版）_cleaned.txt
肺炎,肺结核,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
肺癌,心力衰竭,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
肺癌,心血管疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺癌,糖尿病,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
肺癌,胃食管反流,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
肺癌,贫血,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
肺癌,阻塞性睡眠呼吸暂停,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
肺癌,骨质疏松症,cooccurrence,42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁_cleaned.txt
肺结核,细支气管炎,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
胃食管反流,慢性阻塞性肺疾病,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
胃食管反流,阻塞性睡眠呼吸暂停,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
骨质疏松症,心力衰竭,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
骨质疏松症,心血管疾病,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
鼻窦炎,支气管炎,cooccurrence,11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA_cleaned.txt
鼻窦炎,肺炎,cooccurrence,11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA_cleaned.txt
