head,tail,source,doc
CVA,刺激性咳嗽,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
CVA,咳脓性痰,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
CVA,喘息,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
CVA,慢性咳嗽,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
变应性鼻炎,变应性咳嗽,,
变应性鼻炎,慢性咳嗽,,
右心衰竭,意识障碍,,
呼吸衰竭,乏力,,
呼吸衰竭,呼吸困难,,
呼吸衰竭,咳嗽加剧,,
呼吸衰竭,咳痰,,
呼吸衰竭,啰音,cooccurrence,42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁_cleaned.txt
呼吸衰竭,喘息,,
呼吸衰竭,头晕,,
呼吸衰竭,意识障碍,,
呼吸衰竭,慢性咳嗽,,
呼吸衰竭,胸闷,,
呼吸衰竭,腹胀,,
呼吸衰竭,自汗,,
复发性多软骨炎,变应性咳嗽,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
复发性多软骨炎,慢性咳嗽,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
心力衰竭,乏力,,
心力衰竭,呼吸困难,,
心力衰竭,头晕,,
心力衰竭,心动过速,,
心肌梗死,意识障碍,,
心肌梗死,慢性咳嗽,,
心肌梗死,绞痛,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
心血管疾病,呼吸困难,,
慢性支气管炎,呼吸困难,,
慢性支气管炎,咳痰,,
慢性支气管炎,喘息,,
慢性支气管炎,意识障碍,,
慢性支气管炎,慢性咳嗽,,
慢性支气管炎,胸闷,,
慢性阻塞性肺疾病,中成药,,
慢性阻塞性肺疾病,乏力,,
慢性阻塞性肺疾病,呼吸困难,,
慢性阻塞性肺疾病,咳嗽加剧,,
慢性阻塞性肺疾病,咳痰,,
慢性阻塞性肺疾病,啰音,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
慢性阻塞性肺疾病,喘息,,
慢性阻塞性肺疾病,失眠,,
慢性阻塞性肺疾病,头晕,,
慢性阻塞性肺疾病,头痛,,
慢性阻塞性肺疾病,心动过速,,
慢性阻塞性肺疾病,意识障碍,,
慢性阻塞性肺疾病,慢性咳嗽,,
慢性阻塞性肺疾病,气虚,,
慢性阻塞性肺疾病,流清涕,,
慢性阻塞性肺疾病,祛邪,,
慢性阻塞性肺疾病,肢体酸痛,,
慢性阻塞性肺疾病,肺脾气虚,,
慢性阻塞性肺疾病,胸闷,,
慢性阻塞性肺疾病,腹泻,,
慢性阻塞性肺疾病,腹胀,,
慢性阻塞性肺疾病,自汗,,
慢性阻塞性肺疾病,风寒袭肺,,
支气管哮喘,中成药,,
支气管哮喘,乏力,,
支气管哮喘,呼吸困难,,
支气管哮喘,咳痰,,
支气管哮喘,喘息,,
支气管哮喘,意识障碍,,
支气管哮喘,慢性咳嗽,,
支气管哮喘,气虚,,
支气管哮喘,胸闷,,
支气管扩张,中成药,,
支气管扩张,变应性咳嗽,,
支气管扩张,呼吸困难,,
支气管扩张,咳痰,,
支气管扩张,啰音,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
支气管扩张,喘息,,
支气管扩张,慢性咳嗽,,
支气管炎,呼吸困难,,
支气管炎,咳痰,,
支气管炎,喘息,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
支气管炎,头痛,,
支气管炎,慢性咳嗽,,
气道炎症,咳痰,cooccurrence,29_【CASA-Q量表】慢性气道炎症性疾病气道黏液高分泌管理中国专家共识_cleaned.txt
气道炎症,喘息,cooccurrence,24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与)_cleaned.txt
气道炎症,慢性咳嗽,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
气道神经源性炎症,慢性咳嗽,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
