head,tail,source,doc
ACEI,肺癌,,
ACEI,鼻窦炎,,
CT,慢性阻塞性肺疾病,,
CT,肺结核,,
ICS联合LABA,心肌梗死,,
ICS联合LABA,心血管疾病,,
ICS联合LABA,慢性阻塞性肺疾病,,
ICS联合LABA,支气管哮喘,,
ICS联合LABA,支气管扩张,,
ICS联合LABA,支气管炎,,
LABA联合LAMA,心肌梗死,,
LABA联合LAMA,心血管疾病,,
LABA联合LAMA,慢性阻塞性肺疾病,,
LABA联合LAMA,支气管哮喘,,
LABA联合LAMA,肺炎,,
LABA联合LAMA,肺结核,,
他汀类药物,心血管疾病,,
他汀类药物,慢性支气管炎,,
他汀类药物,慢性阻塞性肺疾病,,
他汀类药物,支气管扩张,,
他汀类药物,肺炎,,
免疫调节剂,慢性阻塞性肺疾病,,
免疫调节剂,支气管扩张,,
减充血剂,支气管哮喘,,
减充血剂,支气管炎,,
减充血剂,非变应性鼻炎,,
受体阻断剂,心力衰竭,,
受体阻断剂,慢性阻塞性肺疾病,,
口服抗菌药物,呼吸衰竭,,
口服抗菌药物,慢性阻塞性肺疾病,,
口服抗菌药物,支气管哮喘,,
吸入性糖皮质激素,心肌梗死,,
吸入性糖皮质激素,心血管疾病,,
吸入性糖皮质激素,慢性支气管炎,,
吸入性糖皮质激素,慢性阻塞性肺疾病,,
吸入性糖皮质激素,支气管哮喘,,
吸入性糖皮质激素,支气管扩张,,
吸入性糖皮质激素,肺炎,,
吸入性糖皮质激素,肺结核,,
吸入性糖皮质激素,自汗,,
吸入性糖皮质激素,阻塞性睡眠呼吸暂停,,
吸入性糖皮质激素,鼻窦炎,,
吸入药物,心力衰竭,,
吸入药物,心肌梗死,,
吸入药物,心血管疾病,,
吸入药物,慢性阻塞性肺疾病,,
吸入药物,肺栓塞,,
噻托溴铵,慢性阻塞性肺疾病,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
左氧氟沙星,肺炎,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
布地奈德,慢性阻塞性肺疾病,cooccurrence,50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年_cleaned.txt
度普利尤单抗,慢性阻塞性肺疾病,,
恩塞芬汀,慢性阻塞性肺疾病,,
抗组胺药物,支气管炎,,
抗组胺药物,结核中毒症状,,
抗胆碱能药物,慢性阻塞性肺疾病,,
抗胆碱能药物,支气管扩张,,
抗胆碱能药物,糖尿病,,
抗菌药物,心力衰竭,,
抗菌药物,慢性阻塞性肺疾病,,
抗菌药物,支气管炎,,
抗菌药物,肺栓塞,,
抗菌药物,肺炎,,
抗菌药物,鼻窦炎,,
支气管舒张剂,CVA,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
支气管舒张剂,右心衰竭,,
支气管舒张剂,呼吸衰竭,,
支气管舒张剂,心力衰竭,,
支气管舒张剂,心肌梗死,,
支气管舒张剂,心血管疾病,,
支气管舒张剂,慢性阻塞性肺疾病,,
支气管舒张剂,支气管哮喘,,
支气管舒张剂,支气管扩张,,
