head,tail,source,doc
ICS联合LABA,呼吸困难,,
LABA联合LAMA,呼吸困难,,
LABA联合LAMA,喘息,,
LABA联合LAMA,慢性咳嗽,,
LABA联合LAMA,气虚,,
LABA联合LAMA,肺脾气虚,,
中枢性镇咳药,慢性咳嗽,,
他汀类药物,慢性咳嗽,,
促胃动力药,慢性咳嗽,,
减充血剂,喘息,,
减充血剂,慢性咳嗽,,
受体阻断剂,慢性咳嗽,,
口服抗菌药物,慢性咳嗽,,
吸入性糖皮质激素,乏力,,
吸入性糖皮质激素,呼吸困难,,
吸入性糖皮质激素,喘息,,
吸入性糖皮质激素,心动过速,,
吸入性糖皮质激素,慢性咳嗽,,
吸入性糖皮质激素,气虚,,
吸入性糖皮质激素,肺脾气虚,,
吸入性糖皮质激素,腹胀,,
吸入药物,呼吸困难,,
吸入药物,喘息,,
吸入药物,慢性咳嗽,,
吸入药物,气虚,,
吸入药物,肺脾气虚,,
噻托溴铵,呼吸困难,cooccurrence,38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁_cleaned.txt
度普利尤单抗,呼吸困难,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
恩塞芬汀,呼吸困难,cooccurrence,5_2025年GOLD慢性阻塞性肺疾病诊断、治疗、管理及预防全球策略更新要点解读_cleaned.txt
抑酸药物,慢性咳嗽,,
抗胆碱能药物,喘息,,
抗胆碱能药物,慢性咳嗽,,
抗菌药物,呼吸困难,,
抗菌药物,喘息,,
抗菌药物,意识障碍,,
抗菌药物,慢性咳嗽,,
支气管舒张剂,乏力,,
支气管舒张剂,呼吸困难,,
支气管舒张剂,咳痰,cooccurrence,23_面向全科医生的《慢性阻塞性肺疾病诊治指南（2021年修订版）》解读_cleaned.txt
支气管舒张剂,喘息,,
支气管舒张剂,慢性咳嗽,,
支气管舒张剂,气虚,,
支气管舒张剂,肺脾气虚,,
支气管舒张剂,胸闷,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
氟替卡松,啰音,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
沙丁胺醇,呼吸困难,cooccurrence,34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版)_cleaned.txt
激动剂,中成药,,
激动剂,乏力,,
激动剂,喘息,,
激动剂,心动过速,,
激动剂,慢性咳嗽,,
激动剂,肺脾气虚,,
激动剂,腹胀,,
短效β2受体激动剂,呼吸困难,,
第一代抗组胺药物,慢性咳嗽,,
糖皮质激素,中成药,,
糖皮质激素,呼吸困难,,
糖皮质激素,啰音,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
糖皮质激素,喘息,,
糖皮质激素,心动过速,,
糖皮质激素,慢性咳嗽,cooccurrence,22_咳嗽基层诊疗指南（2018年）_cleaned.txt
线胸片,变应性咳嗽,,
线胸片,呼吸困难,,
线胸片,咳痰,,
线胸片,头痛,,
线胸片,慢性咳嗽,,
线胸片,流清涕,,
线胸片,脉浮,,
罗氟司特,呼吸困难,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
羧甲司坦,呼吸困难,,
羧甲司坦,慢性咳嗽,,
联合制剂,气虚,,
苏子降气丸,中成药,,
苏子降气丸,咳痰,,
苏子降气丸,流清涕,,
茶碱,呼吸困难,cooccurrence,21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考_cleaned.txt
茶碱,胸闷,cooccurrence,30_咳嗽的诊断与治疗指南（2021）_cleaned.txt
镇咳药物,慢性咳嗽,,
长效β2受体激动剂,乏力,,
长效β2受体激动剂,呼吸困难,,
长效β2受体激动剂,喘息,,
长效β2受体激动剂,头晕,,
长效β2受体激动剂,头痛,,
长效β2受体激动剂,慢性咳嗽,,
长效β2受体激动剂,气虚,,
长效β2受体激动剂,肺脾气虚,,
长效β2受体激动剂,腹胀,,
长效毒蕈碱拮抗剂,乏力,,
长效毒蕈碱拮抗剂,呼吸困难,,
长效毒蕈碱拮抗剂,喘息,,
长效毒蕈碱拮抗剂,慢性咳嗽,,
长效毒蕈碱拮抗剂,气虚,,
长效毒蕈碱拮抗剂,肺脾气虚,,
长效毒蕈碱拮抗剂,腹胀,,
黏液溶解剂,慢性咳嗽,,
