head,tail,source,doc
ACEI,支气管扩张,,
ACEI,阻塞性睡眠呼吸暂停,,
CT,呼吸困难,,
CT,心力衰竭,,
呼吸道感染,呼吸衰竭,,
呼吸道感染,心力衰竭,,
呼吸道感染,心肌梗死,,
呼吸道感染,慢性支气管炎,,
呼吸道感染,慢性阻塞性肺疾病,,
呼吸道感染,支气管哮喘,,
呼吸道感染,支气管炎,,
呼吸道感染,流行性感冒,,
呼吸道感染,糖尿病,,
呼吸道感染,肺栓塞,,
呼吸道感染,肺炎,,
呼吸道感染,贫血,,
呼吸道感染,鼻窦炎,,
心肌梗死,慢性咳嗽,,
慢性阻塞性肺疾病,乏力,,
慢性阻塞性肺疾病,心动过速,,
慢性阻塞性肺疾病,肌肉酸痛,,
戒烟,中成药,,
抗感染,呼吸衰竭,,
抗感染,心力衰竭,,
抗感染,慢性阻塞性肺疾病,,
抗感染,支气管哮喘,,
抗感染,支气管扩张,,
抗感染,支气管炎,,
抗感染,肺炎,,
抗感染,鼻窦炎,,
抗组胺药物,慢性咳嗽,,
支气管哮喘,心动过速,,
支气管炎,喘息,,
支气管炎,心动过速,,
气候变化,支气管哮喘,,
污染物,支气管哮喘,,
污染物,支气管炎,,
活血,呼吸困难,,
混合感染,支气管哮喘,,
混合感染,鼻窦炎,,
空气污染,心力衰竭,,
空气污染,支气管哮喘,,
空气污染,肺栓塞,,
糖皮质激素,慢性咳嗽,,
细菌感染,呼吸衰竭,,
细菌感染,慢性阻塞性肺疾病,,
细菌感染,支气管哮喘,,
细菌感染,支气管扩张,,
细菌感染,肺炎,,
肺减容手术,慢性阻塞性肺疾病,,
肺功能,乏力,,
肺功能,肌肉酸痛,,
肺功能,肺栓塞,,
肺功能,贫血,,
肺康复,慢性阻塞性肺疾病,,
肺癌,咳痰,,
肺结核,呼吸困难,,
肺结核,咳痰,,
肺结核,慢性咳嗽,,
血常规,变应性鼻炎,,
阻塞性睡眠呼吸暂停,慢性咳嗽,,
