head,tail,context
吸烟,慢性阻塞性肺疾病,
呼吸道感染,慢性阻塞性肺疾病,
细菌感染,慢性阻塞性肺疾病,
呼吸道感染,支气管哮喘,
吸烟,肺炎,
抗感染,心力衰竭,
吸烟,支气管扩张,
吸烟史,肺癌,
吸烟史,阻塞性睡眠呼吸暂停,
吸烟史,慢性阻塞性肺疾病,
空气污染,慢性阻塞性肺疾病,
吸烟,支气管哮喘,
二氧化硫,慢性阻塞性肺疾病,
二氧化氮,慢性阻塞性肺疾病,
二氧化硅,慢性阻塞性肺疾病,
细菌感染,支气管扩张,
气候变化,支气管哮喘,
抗感染,慢性阻塞性肺疾病,
污染物,支气管哮喘,
细菌感染,肺炎,
呼吸道感染,糖尿病,
吸烟,肺癌,
呼吸道感染,心力衰竭,
呼吸道感染,肺栓塞,
吸烟,心力衰竭,
吸烟,肺栓塞,
污染物,慢性阻塞性肺疾病,
抗感染,肺炎,
抗感染,呼吸衰竭,
吸烟,慢性支气管炎,
烟草烟雾,慢性阻塞性肺疾病,
空气污染,慢性阻塞性肺疾病,
吸烟,心血管疾病,
吸烟,骨质疏松症,
吸烟,阻塞性睡眠呼吸暂停,
吸烟史,支气管哮喘,
吸烟史,支气管扩张,
吸烟史,肺结核,
吸烟,鼻窦炎,
吸烟,心力衰竭,
吸烟,呼吸衰竭,
烟草烟雾,支气管哮喘,
吸烟,糖尿病,
吸烟史,糖尿病,
吸烟,肺栓塞,
