head,tail,context
肺功能,慢性阻塞性肺疾病,
肺功能,呼吸衰竭,
肺功能,右心衰竭,
血气分析,慢性阻塞性肺疾病,
心电图,慢性阻塞性肺疾病,
心电图,支气管哮喘,
心电图,支气管扩张,
CT,支气管扩张,
脉搏血氧,呼吸衰竭,
血气分析,呼吸衰竭,
血气分析,心力衰竭,
脉搏血氧,心力衰竭,
心电图,肺动脉高压,
肺功能,支气管哮喘,
肺功能,心力衰竭,
肺功能,支气管扩张,
肺功能,肺结核,
肺功能,鼻窦炎,
肺功能,阻塞性睡眠呼吸暂停,
CT,心力衰竭,
心电图,心力衰竭,
CT,肺癌,
CT,变应性鼻炎,
血气分析,心血管疾病,
血气分析,右心衰竭,
肺功能,心血管疾病,
血嗜酸粒细胞计数,慢性阻塞性肺疾病,
血嗜酸粒细胞计数,支气管哮喘,
CT,肺炎,
呼吸频率,呼吸衰竭,
呼吸频率,慢性阻塞性肺疾病,
肺功能,肺癌,
吸气流速,慢性阻塞性肺疾病,
CT,慢性支气管炎,
CT,支气管哮喘,
肺功能,慢性支气管炎,
血气分析,肺癌,
血气分析,支气管扩张,
心电图,呼吸衰竭,
心电图,心血管疾病,
CT,鼻窦炎,
肺功能,肺炎,
血常规,慢性阻塞性肺疾病,
CT,肺栓塞,
心电图,肺栓塞,
脉搏血氧,慢性阻塞性肺疾病,
呼吸频率,肺炎,
CT,心血管疾病,
血常规,红细胞增多症,
血常规,贫血,
CT,呼吸衰竭,
吸气流速,肺动脉高压,
心电图,右心衰竭,
CT,肺动脉高压,
