head,tail,context
慢性阻塞性肺疾病,慢性咳嗽,
慢性阻塞性肺疾病,咳痰,
慢性阻塞性肺疾病,呼吸困难,
呼吸衰竭,呼吸困难,
支气管哮喘,呼吸困难,
慢性阻塞性肺疾病,头痛,
慢性阻塞性肺疾病,失眠,
慢性阻塞性肺疾病,心动过速,
慢性阻塞性肺疾病,喘息,
慢性阻塞性肺疾病,胸闷,
慢性阻塞性肺疾病,咳嗽加剧,
心肌梗死,意识障碍,
慢性阻塞性肺疾病,乏力,
心力衰竭,呼吸困难,
心力衰竭,乏力,
肺炎,慢性咳嗽,
肺结核,慢性咳嗽,
支气管哮喘,慢性咳嗽,
支气管炎,慢性咳嗽,
心肌梗死,慢性咳嗽,
肺栓塞,慢性咳嗽,
支气管哮喘,喘息,
支气管扩张,慢性咳嗽,
结核中毒症状,慢性咳嗽,
支气管哮喘,胸闷,
支气管哮喘,咳痰,
阻塞性睡眠呼吸暂停,失眠,
慢性阻塞性肺疾病,中成药,
支气管扩张,咳痰,
支气管扩张,呼吸困难,
变应性鼻炎,慢性咳嗽,
非变应性鼻炎,慢性咳嗽,
鼻窦炎,慢性咳嗽,
慢性支气管炎,慢性咳嗽,
糖尿病,慢性咳嗽,
糖尿病,咳痰,
支气管炎,呼吸困难,
支气管炎,咳痰,
肺癌,乏力,
鼻窦炎,头痛,
肺炎,呼吸困难,
肺炎,咳痰,
肺炎,心动过速,
慢性阻塞性肺疾病,意识障碍,
支气管哮喘,乏力,
肺炎,乏力,
慢性阻塞性肺疾病,腹胀,
慢性支气管炎,咳痰,
慢性阻塞性肺疾病,自汗,
肺动脉高压,呼吸困难,
慢性阻塞性肺疾病,腹泻,
慢性阻塞性肺疾病,气虚,
慢性阻塞性肺疾病,头晕,
肺动脉高压,头晕,
慢性阻塞性肺疾病,流清涕,
慢性阻塞性肺疾病,肢体酸痛,
支气管扩张,喘息,
肺炎,意识障碍,
肺炎,腹泻,
呼吸衰竭,腹胀,
呼吸衰竭,乏力,
呼吸衰竭,自汗,
慢性阻塞性肺疾病,肺脾气虚,
慢性支气管炎,呼吸困难,
慢性支气管炎,喘息,
慢性支气管炎,胸闷,
肺动脉高压,意识障碍,
心血管疾病,呼吸困难,
心力衰竭,呼吸困难,
肺栓塞,呼吸困难,
流行性感冒,慢性咳嗽,
支气管炎,慢性咳嗽,
慢性支气管炎,意识障碍,
肺癌,呼吸困难,
呼吸衰竭,喘息,
呼吸衰竭,胸闷,
呼吸衰竭,咳嗽加剧,
心力衰竭,心动过速,
支气管扩张,中成药,
支气管扩张,变应性咳嗽,
变应性鼻炎,变应性咳嗽,
鼻窦炎症状,慢性咳嗽,
支气管炎,头痛,
非变应性鼻炎,喘息,
支气管哮喘,意识障碍,
结核中毒症状,咳痰,
糖尿病,呼吸困难,
肺动脉高压,气虚,
呼吸衰竭,意识障碍,
慢性阻塞性肺疾病,祛邪,
慢性阻塞性肺疾病,风寒袭肺,
肺炎,喘息,
呼吸衰竭,头晕,
呼吸衰竭,慢性咳嗽,
右心衰竭,意识障碍,
支气管哮喘,气虚,
支气管哮喘,中成药,
呼吸衰竭,咳痰,
心力衰竭,头晕,
