head,tail,context
CT,慢性阻塞性肺疾病,
支气管舒张剂,慢性阻塞性肺疾病,
长效β2受体激动剂,慢性阻塞性肺疾病,
吸入药物,慢性阻塞性肺疾病,
长效毒蕈碱拮抗剂,慢性阻塞性肺疾病,
ICS联合LABA,慢性阻塞性肺疾病,
吸入性糖皮质激素,慢性阻塞性肺疾病,
LABA联合LAMA,慢性阻塞性肺疾病,
线胸片,肺栓塞,
短效β2受体激动剂,肺栓塞,
糖皮质激素,慢性阻塞性肺疾病,
吸入药物,心血管疾病,
吸入药物,心肌梗死,
长效β2受体激动剂,心肌梗死,
长效毒蕈碱拮抗剂,心肌梗死,
LABA联合LAMA,心肌梗死,
吸入性糖皮质激素,心肌梗死,
ICS联合LABA,心肌梗死,
支气管舒张剂,心力衰竭,
受体阻断剂,慢性阻塞性肺疾病,
受体阻断剂,心力衰竭,
短效β2受体激动剂,肺癌,
抗菌药物,支气管炎,
口服抗菌药物,支气管哮喘,
激动剂,支气管炎,
抗胆碱能药物,慢性阻塞性肺疾病,
短效β2受体激动剂,慢性阻塞性肺疾病,
激动剂,慢性阻塞性肺疾病,
减充血剂,支气管炎,
第一代抗组胺药物,支气管炎,
糖皮质激素,鼻窦炎,
减充血剂,非变应性鼻炎,
苏子降气丸,慢性阻塞性肺疾病,
糖皮质激素,肺炎,
抗菌药物,慢性阻塞性肺疾病,
糖皮质激素,支气管哮喘,
抗菌药物,心力衰竭,
糖皮质激素,心力衰竭,
支气管舒张剂,呼吸衰竭,
糖皮质激素,呼吸衰竭,
口服抗菌药物,慢性阻塞性肺疾病,
口服抗菌药物,呼吸衰竭,
抗菌药物,肺炎,
支气管舒张剂,右心衰竭,
羧甲司坦,慢性阻塞性肺疾病,
吸入性糖皮质激素,支气管哮喘,
吸入性糖皮质激素,肺结核,
LABA联合LAMA,肺结核,
激动剂,肺结核,
恩塞芬汀,慢性阻塞性肺疾病,
免疫调节剂,慢性阻塞性肺疾病,
磷酸二酯酶抑制剂,慢性阻塞性肺疾病,
他汀类药物,慢性阻塞性肺疾病,
免疫调节剂,支气管扩张,
他汀类药物,肺炎,
度普利尤单抗,慢性阻塞性肺疾病,
短效β2受体激动剂,支气管扩张,
激动剂,支气管扩张,
抗胆碱能药物,支气管扩张,
生物制剂,慢性阻塞性肺疾病,
吸入性糖皮质激素,支气管扩张,
激动剂,肺炎,
吸入性糖皮质激素,肺炎,
激动剂,心力衰竭,
线胸片,慢性阻塞性肺疾病,
线胸片,肺结核,
LABA联合LAMA,支气管哮喘,
ICS联合LABA,支气管哮喘,
长效毒蕈碱拮抗剂,支气管哮喘,
支气管舒张剂,支气管哮喘,
长效β2受体激动剂,支气管哮喘,
ICS联合LABA,支气管炎,
黏液溶解剂,慢性阻塞性肺疾病,
支气管舒张剂,肺炎,
线胸片,肺炎,
茶碱类药物,慢性阻塞性肺疾病,
糖皮质激素,心力衰竭,
抗菌药物,心力衰竭,
糖皮质激素,肺栓塞,
抗菌药物,肺栓塞,
抗菌药物,慢性阻塞性肺疾病,
糖皮质激素,肺炎,
支气管舒张剂,心血管疾病,
糖皮质激素,心血管疾病,
长效β2受体激动剂,心血管疾病,
长效毒蕈碱拮抗剂,心血管疾病,
LABA联合LAMA,心血管疾病,
吸入性糖皮质激素,心血管疾病,
ICS联合LABA,心血管疾病,
支气管舒张剂,心肌梗死,
黏液溶解剂,心力衰竭,
羧甲司坦,心力衰竭,
短效β2受体激动剂,肺癌,
ACEI,肺癌,
线胸片,支气管哮喘,
吸入性糖皮质激素,阻塞性睡眠呼吸暂停,
口服抗菌药物,支气管哮喘,
激动剂,支气管炎,
激动剂,变应性鼻炎,
糖皮质激素,变应性鼻炎,
吸入性糖皮质激素,鼻窦炎,
抗菌药物,鼻窦炎,
减充血剂,支气管哮喘,
线胸片,支气管扩张,
糖皮质激素,结核中毒症状,
抗组胺药物,结核中毒症状,
线胸片,慢性支气管炎,
线胸片,肺癌,
支气管舒张剂,肺癌,
CT,肺结核,
线胸片,心力衰竭,
短效β2受体激动剂,呼吸衰竭,
糖皮质激素,支气管扩张,
支气管舒张剂,支气管扩张,
羧甲司坦,支气管哮喘,
线胸片,变应性鼻炎,
抗组胺药物,支气管炎,
ICS联合LABA,支气管扩张,
他汀类药物,慢性支气管炎,
他汀类药物,支气管扩张,
ACEI,鼻窦炎,
抗胆碱能药物,糖尿病,
长效毒蕈碱拮抗剂,糖尿病,
长效毒蕈碱拮抗剂,肺炎,
长效β2受体激动剂,肺炎,
支气管舒张剂,自汗,
长效毒蕈碱拮抗剂,自汗,
长效β2受体激动剂,自汗,
激动剂,自汗,
吸入性糖皮质激素,自汗,
糖皮质激素,肺动脉高压,
线胸片,呼吸衰竭,
LABA联合LAMA,肺炎,
LABA联合LAMA,肺结核,
激动剂,肺结核,
长效β2受体激动剂,支气管扩张,
长效毒蕈碱拮抗剂,支气管扩张,
吸入药物,心力衰竭,
吸入药物,肺栓塞,
长效毒蕈碱拮抗剂,慢性支气管炎,
吸入性糖皮质激素,慢性支气管炎,
生物制剂,慢性支气管炎,
联合制剂,慢性阻塞性肺疾病,
长效毒蕈碱拮抗剂,肺动脉高压,
长效β2受体激动剂,肺动脉高压,
他汀类药物,心血管疾病,
长效β2受体激动剂,心力衰竭,
长效β2受体激动剂,慢性支气管炎,
