head,tail,context
线胸片,慢性咳嗽,
线胸片,咳痰,
线胸片,呼吸困难,
支气管舒张剂,呼吸困难,
长效β2受体激动剂,头痛,
长效β2受体激动剂,头晕,
长效β2受体激动剂,呼吸困难,
吸入药物,呼吸困难,
LABA联合LAMA,慢性咳嗽,
吸入药物,慢性咳嗽,
长效毒蕈碱拮抗剂,呼吸困难,
LABA联合LAMA,呼吸困难,
ICS联合LABA,呼吸困难,
吸入性糖皮质激素,呼吸困难,
糖皮质激素,呼吸困难,
抗菌药物,呼吸困难,
吸入性糖皮质激素,慢性咳嗽,
第一代抗组胺药物,慢性咳嗽,
镇咳药物,慢性咳嗽,
口服抗菌药物,慢性咳嗽,
激动剂,慢性咳嗽,
激动剂,喘息,
减充血剂,慢性咳嗽,
黏液溶解剂,慢性咳嗽,
羧甲司坦,慢性咳嗽,
受体阻断剂,慢性咳嗽,
长效β2受体激动剂,慢性咳嗽,
长效毒蕈碱拮抗剂,慢性咳嗽,
抗菌药物,慢性咳嗽,
促胃动力药,慢性咳嗽,
中枢性镇咳药,慢性咳嗽,
线胸片,流清涕,
线胸片,头痛,
线胸片,脉浮,
支气管舒张剂,慢性咳嗽,
短效β2受体激动剂,呼吸困难,
吸入性糖皮质激素,心动过速,
激动剂,心动过速,
糖皮质激素,心动过速,
抗胆碱能药物,慢性咳嗽,
激动剂,中成药,
糖皮质激素,中成药,
线胸片,变应性咳嗽,
减充血剂,喘息,
糖皮质激素,喘息,
抑酸药物,慢性咳嗽,
他汀类药物,慢性咳嗽,
支气管舒张剂,肺脾气虚,
支气管舒张剂,喘息,
支气管舒张剂,乏力,
长效毒蕈碱拮抗剂,肺脾气虚,
长效毒蕈碱拮抗剂,喘息,
长效毒蕈碱拮抗剂,乏力,
长效β2受体激动剂,肺脾气虚,
长效β2受体激动剂,喘息,
长效β2受体激动剂,乏力,
长效β2受体激动剂,腹胀,
激动剂,肺脾气虚,
激动剂,乏力,
激动剂,腹胀,
长效毒蕈碱拮抗剂,腹胀,
吸入性糖皮质激素,乏力,
吸入性糖皮质激素,腹胀,
苏子降气丸,中成药,
苏子降气丸,咳痰,
苏子降气丸,流清涕,
抗菌药物,喘息,
抗菌药物,意识障碍,
羧甲司坦,呼吸困难,
支气管舒张剂,气虚,
联合制剂,气虚,
长效毒蕈碱拮抗剂,气虚,
长效β2受体激动剂,气虚,
吸入性糖皮质激素,气虚,
吸入性糖皮质激素,喘息,
吸入药物,气虚,
吸入药物,肺脾气虚,
吸入药物,喘息,
LABA联合LAMA,气虚,
LABA联合LAMA,肺脾气虚,
LABA联合LAMA,喘息,
吸入性糖皮质激素,肺脾气虚,
抗胆碱能药物,喘息,
